symbol,direction,entry_time,entry_price,exit_time,exit_price,pnl,pnl_percent,exit_reason,regime,score,duration_hours,entry_session,market_conditions
DOGEUSDT,long,2024-03-03 10:00:00,0.13393693499999998,2024-03-03 18:35:00,0.143898015,56.818752764397985,4.854333397468015,completed,early_trend,92,8.583333333333334,London Session,"{'atr_percentile': np.float64(75.0), 'adx_value': np.float64(44.548594621202845), 'ema_slope': np.float64(0.11080241639015896)}"
XMRUSDT,long,2024-03-03 23:55:00,151.09551,2024-03-04 00:10:00,148.68117,-15.475303043999888,-1.7070111309065252,stopped,early_trend,85,0.25,Off-Hours,"{'atr_percentile': np.float64(53.0), 'adx_value': np.float64(25.747432524123873), 'ema_slope': np.float64(0.07375085914378957)}"
ALGOUSDT,long,2024-03-04 00:45:00,0.2551275,2024-03-04 02:45:00,0.25296053625000003,-0.4147990011549991,-0.04467847828290987,stopped,strong_trend,92,2.0,Asian Session,"{'atr_percentile': np.float64(79.0), 'adx_value': np.float64(41.21562094759329), 'ema_slope': np.float64(0.478787458264249)}"
LTCUSDT,long,2024-03-04 08:45:00,91.94595,2024-03-04 10:20:00,90.47643299999999,-15.698493106500104,-1.7073610209585204,stopped,early_trend,88,1.5833333333333333,Asian Session + London Session,"{'atr_percentile': np.float64(56.00000000000001), 'adx_value': np.float64(24.995609019665405), 'ema_slope': np.float64(0.15198756236750385)}"
ZECUSDT,long,2024-03-04 08:15:00,32.206095,2024-03-04 10:35:00,31.9325829525,-0.4022165876178896,-0.04460298005458391,stopped,early_trend,90,2.3333333333333335,Asian Session + London Session,"{'atr_percentile': np.float64(56.99999999999999), 'adx_value': np.float64(21.322320950803725), 'ema_slope': np.float64(0.20448437903276417)}"
HBARUSDT,long,2024-03-04 08:30:00,0.11437716,2024-03-04 17:45:00,0.11443417701426001,5.4179023357070255,0.5840062056152756,stopped,early_trend,90,9.25,Asian Session + London Session,"{'atr_percentile': np.float64(56.99999999999999), 'adx_value': np.float64(25.13218694709267), 'ema_slope': np.float64(0.15360372929133262)}"
XLMUSDT,long,2024-03-05 02:00:00,0.14933463,2024-03-05 02:15:00,0.14694291,-15.767439577283916,-1.7107034363027427,stopped,early_trend,87,0.25,Asian Session,"{'atr_percentile': np.float64(57.99999999999999), 'adx_value': np.float64(24.691331169504735), 'ema_slope': np.float64(0.03984716636973057)}"
XRPUSDT,long,2024-03-05 02:25:00,0.66363165,2024-03-05 03:00:00,0.65302632,-15.646028291113456,-1.7071958342402698,stopped,early_trend,88,0.5833333333333334,Asian Session,"{'atr_percentile': np.float64(65.0), 'adx_value': np.float64(20.696946587727098), 'ema_slope': np.float64(0.09613031936276076)}"
UNIUSDT,long,2024-03-05 04:45:00,12.696344999999999,2024-03-05 17:55:00,13.641176,43.79810846800509,4.858679936273008,completed,early_trend,96,13.166666666666666,Asian Session,"{'atr_percentile': np.float64(74.0), 'adx_value': np.float64(20.84360927095315), 'ema_slope': np.float64(0.30552248572371055)}"
ARBUSDT,long,2024-03-06 09:20:00,2.09294595,2024-03-06 09:35:00,2.0595383999999997,-20.3797987601176,-1.705319546952475,stopped,strong_trend,85,0.25,London Session,"{'atr_percentile': np.float64(42.0), 'adx_value': np.float64(40.71075708177772), 'ema_slope': np.float64(0.13268122382570205)}"
UNIUSDT,long,2024-03-06 09:30:00,15.131561999999999,2024-03-06 12:20:00,16.255868,57.98086387721264,4.8503583819535745,completed,strong_trend,90,2.8333333333333335,London Session,"{'atr_percentile': np.float64(59.0), 'adx_value': np.float64(55.60647626133526), 'ema_slope': np.float64(0.5487025797814934)}"
AAVEUSDT,long,2024-03-06 13:15:00,116.09802,2024-03-06 17:50:00,124.72760500000001,65.75656450636987,4.851195151777784,completed,strong_trend,88,4.583333333333333,London Session + NY Session,"{'atr_percentile': np.float64(78.0), 'adx_value': np.float64(48.04873494331501), 'ema_slope': np.float64(0.1157385430896115)}"
FILUSDT,long,2024-03-06 19:00:00,9.879937499999999,2024-03-07 02:25:00,9.79601293125,-0.638097714468115,-0.0457004440921741,stopped,strong_trend,87,7.416666666666667,NY Session,"{'atr_percentile': np.float64(66.0), 'adx_value': np.float64(30.60297372361459), 'ema_slope': np.float64(0.11581712429264523)}"
DOTUSDT,long,2024-03-07 01:05:00,10.7523735,2024-03-07 03:25:00,10.580409,-11.756641943999977,-1.7084370290429332,stopped,strong_trend,88,2.3333333333333335,Asian Session,"{'atr_percentile': np.float64(51.0), 'adx_value': np.float64(43.364511789329356), 'ema_slope': np.float64(0.21349649509821023)}"
AVAXUSDT,long,2024-03-07 02:30:00,43.28162999999999,2024-03-07 04:50:00,42.589368,-11.831856782399877,-1.7085563757649433,stopped,strong_trend,88,2.3333333333333335,Asian Session,"{'atr_percentile': np.float64(59.0), 'adx_value': np.float64(33.69350746990807), 'ema_slope': np.float64(0.12467408206990416)}"
HBARUSDT,long,2024-03-07 03:25:00,0.12888440999999998,2024-03-07 07:40:00,0.13849071999999998,33.73226383342736,4.862967949246166,completed,early_trend,87,4.25,Asian Session,"{'atr_percentile': np.float64(66.0), 'adx_value': np.float64(32.92346152166869), 'ema_slope': np.float64(0.12035751339530527)}"
FILUSDT,long,2024-03-07 19:40:00,10.1420685,2024-03-07 21:20:00,9.9799101,-21.479960540520114,-1.70798972842671,stopped,early_trend,85,1.6666666666666667,NY Session,"{'atr_percentile': np.float64(62.0), 'adx_value': np.float64(26.730391828403818), 'ema_slope': np.float64(0.1708257793310726)}"
ARBUSDT,long,2024-03-08 01:35:00,2.2181085,2024-03-08 02:35:00,2.1826152,-11.829073786920054,-1.7092805890694784,stopped,strong_trend,85,1.0,Asian Session,"{'atr_percentile': np.float64(63.0), 'adx_value': np.float64(39.39565164927291), 'ema_slope': np.float64(0.13271117546888314)}"
UNIUSDT,long,2024-03-08 04:00:00,15.329660999999998,2024-03-08 04:55:00,15.0849,-11.76700538474994,-1.7057716315448768,stopped,early_trend,90,0.9166666666666666,Asian Session,"{'atr_percentile': np.float64(56.99999999999999), 'adx_value': np.float64(29.024035281555264), 'ema_slope': np.float64(0.21882181099982995)}"
DOGEUSDT,long,2024-03-08 02:00:00,0.16243117499999998,2024-03-08 14:05:00,0.17455268,33.75000348409218,4.870612566691713,completed,early_trend,87,12.083333333333334,Asian Session,"{'atr_percentile': np.float64(63.0), 'adx_value': np.float64(20.787196966460133), 'ema_slope': np.float64(0.34806362582282296)}"
LTCUSDT,long,2024-03-09 01:40:00,89.20457999999999,2024-03-09 10:05:00,87.779133,-21.31903259009988,-1.7070738320274492,stopped,early_trend,85,8.416666666666666,Asian Session,"{'atr_percentile': np.float64(66.0), 'adx_value': np.float64(23.84916619086215), 'ema_slope': np.float64(0.07751043866122506)}"
LTCUSDT,long,2024-03-09 17:30:00,89.914935,2024-03-09 19:15:00,88.477434,-10.749317620649983,-1.707855099878566,stopped,early_trend,86,1.75,NY Session,"{'atr_percentile': np.float64(59.0), 'adx_value': np.float64(23.251982222334583), 'ema_slope': np.float64(0.06163851530553593)}"
BNBUSDT,long,2024-03-11 07:40:00,529.794765,2024-03-11 11:55:00,521.32815,-9.044732603249933,-1.7072144159918103,stopped,early_trend,88,4.25,Asian Session,"{'atr_percentile': np.float64(59.0), 'adx_value': np.float64(23.325203876209116), 'ema_slope': np.float64(0.13254753952258136)}"
DOTUSDT,long,2024-03-11 10:45:00,10.862428499999998,2024-03-11 11:55:00,10.688301,-16.36627530779992,-1.7121438472529338,stopped,strong_trend,88,1.1666666666666667,London Session,"{'atr_percentile': np.float64(82.0), 'adx_value': np.float64(39.91798641555764), 'ema_slope': np.float64(0.1124989099242334)}"
APTUSDT,long,2024-03-11 10:45:00,13.4577255,2024-03-11 13:35:00,13.242744,-16.306339833975027,-1.7065793043928585,stopped,early_trend,88,2.8333333333333335,London Session,"{'atr_percentile': np.float64(75.0), 'adx_value': np.float64(41.02419111996722), 'ema_slope': np.float64(0.08878522482953968)}"
SOLUSDT,long,2024-03-12 03:45:00,152.27609999999999,2024-03-12 04:00:00,149.84001,-18.215777023499854,-1.708904982791114,stopped,strong_trend,88,0.25,Asian Session,"{'atr_percentile': np.float64(71.0), 'adx_value': np.float64(30.48408131666272), 'ema_slope': np.float64(0.051113640995312966)}"
SUIUSDT,short,2024-03-15 11:30:00,1.40259835,2024-03-15 11:55:00,1.4250235999999998,-20.55123885613227,-1.70971554846758,stopped,strong_trend,89,0.4166666666666667,London Session,"{'atr_percentile': np.float64(84.0), 'adx_value': np.float64(53.07276948355756), 'ema_slope': np.float64(0.12200887862839685)}"
AVAXUSDT,long,2024-03-15 17:00:00,55.292632499999996,2024-03-15 20:00:00,55.2373398675,30.162382785346697,2.5976407293672747,stopped,strong_trend,88,3.0,NY Session,"{'atr_percentile': np.float64(78.0), 'adx_value': np.float64(31.57859066935836), 'ema_slope': np.float64(0.27548930223605544)}"
